,code,Name,State,population,growth,households,median_age,per_cap_income,hh_income,labor_force,unempl_rate,poverty_rate,hs_rate,college_rate,votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name
0,1001,Autauga ,AL,55504.0,1.7,20800.0,37.8,39721.0,54487.0,25909.0,3.9,13.5,87.6,24.6,5908.0,18110.0,24661.0,0.23956854953200002,0.734357893029,12202.0,49.48,AL,Autauga County
1,1003,Baldwin ,AL,212628.0,16.7,75149.0,42.3,41286.0,56460.0,91567.0,4.0,11.7,90.0,29.5,18409.0,72780.0,94090.0,0.195653098098,0.773514719949,54371.0,57.79,AL,Baldwin County
2,1005,Barbour ,AL,25270.0,-8.0,9122.0,38.7,31788.0,32884.0,8236.0,5.9,29.9,73.8,12.9,4848.0,5431.0,10390.0,0.466602502406,0.522714148219,583.0,5.61,AL,Barbour County
3,1007,Bibb ,AL,22668.0,-1.1,7048.0,40.2,29264.0,43079.0,8506.0,4.4,20.1,80.7,12.0,1874.0,6733.0,8748.0,0.214220393233,0.769661636946,4859.0,55.54,AL,Bibb County
4,1009,Blount ,AL,58013.0,1.2,20619.0,40.8,31470.0,47213.0,24494.0,4.0,14.1,80.0,13.0,2150.0,22808.0,25384.0,0.08469902300660001,0.8985187519700001,20658.0,81.38,AL,Blount County
5,1011,Bullock ,AL,10309.0,-5.5,3556.0,39.2,26661.0,34278.0,4812.0,4.9,32.6,66.6,10.3,3530.0,1139.0,4701.0,0.750904062965,0.242288874708,2391.0,50.86,AL,Bullock County
6,1013,Butler ,AL,19825.0,-5.4,7675.0,40.6,33694.0,35409.0,8946.0,5.5,24.8,81.1,16.1,3716.0,4891.0,8685.0,0.427864133564,0.563154864709,1175.0,13.53,AL,Butler County
7,1015,Calhoun ,AL,114728.0,-3.2,45071.0,39.1,34401.0,41778.0,45582.0,4.9,17.1,82.3,17.7,13197.0,32803.0,47376.0,0.278558763931,0.6923969942589999,19606.0,41.38,AL,Calhoun County
8,1017,Chambers ,AL,33713.0,-1.5,13851.0,43.1,31925.0,39530.0,15176.0,4.1,19.9,80.3,12.5,5763.0,7803.0,13778.0,0.418275511685,0.5663376397150001,2040.0,14.81,AL,Chambers County
9,1019,Cherokee ,AL,25857.0,-0.5,10999.0,45.7,33057.0,41456.0,11174.0,4.1,16.8,81.3,14.0,1524.0,8809.0,10503.0,0.14510139960000001,0.838712748738,7285.0,69.36,AL,Cherokee County
10,1021,Chilton ,AL,44067.0,1.0,16619.0,38.7,32041.0,44188.0,19118.0,4.0,18.3,80.1,14.9,2909.0,15068.0,18255.0,0.159353601753,0.825417693783,12159.0,66.61,AL,Chilton County
11,1023,Choctaw ,AL,12945.0,-6.6,5562.0,45.1,31926.0,32691.0,4336.0,6.4,22.7,78.9,12.0,3109.0,4102.0,7268.0,0.427765547606,0.5643918547060001,993.0,13.66,AL,Choctaw County
12,1025,Clarke ,AL,24083.0,-6.8,9554.0,42.0,33096.0,34061.0,7720.0,8.5,29.0,81.0,12.1,5712.0,7109.0,12936.0,0.441558441558,0.549551638837,1397.0,10.8,AL,Clarke County
13,1027,Clay ,AL,13367.0,-4.1,5363.0,43.7,33452.0,38512.0,5721.0,4.4,18.9,74.6,11.1,1234.0,5230.0,6572.0,0.187766281193,0.7958003651860001,3996.0,60.8,AL,Clay County
14,1029,Cleburne ,AL,14900.0,-0.5,5834.0,41.5,31917.0,43483.0,5742.0,4.5,17.2,74.2,11.5,684.0,5738.0,6532.0,0.10471524801000001,0.878444580527,5054.0,77.37,AL,Cleburne County
15,1031,Coffee ,AL,51874.0,3.9,19375.0,39.3,39923.0,48632.0,20671.0,4.4,14.4,85.1,23.7,4194.0,15825.0,20513.0,0.204455711013,0.771461999708,11631.0,56.7,AL,Coffee County
16,1033,Colbert ,AL,54500.0,0.1,22105.0,42.4,36422.0,46572.0,23092.0,5.2,16.7,83.4,18.5,7296.0,16718.0,24626.0,0.2962722326,0.678875984732,9422.0,38.26,AL,Colbert County
